-53.6971662046,17.9173614276,38.4421303785
-40.6922214437,38.9070054969,38.37774596
-21.6801090005,50.911838801,40.5916777707
3.3377043362,48.8950830466,43.4401781596
31.3232417923,43.9029356412,43.3864641526
50.3336850811,37.8964752432,40.6119947773
56.3398503544,28.8882425157,39.4252926224
59.3427376259,16.8789086983,39.1213579921
58.3516983373,-5.1292428013,36.8749840353
50.3649581723,-13.1198958779,39.7390400469
40.3642179491,-21.1103462227,41.4880959008
18.3496620349,-27.1127128352,44.7736312483
-3.6655238208,-29.1187852471,44.9771388532
-24.6543372267,-27.1025640647,41.8436379878
-40.660502421,-18.0916853055,40.6203414443
-45.6783161011,-16.0794912556,38.9218379799
-53.6632975158,-5.0849766483,37.5350171505
